frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,tcp.flags,frame.len
"Apr  3, 2025 09:04:33.262152000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0002","74"
"Apr  3, 2025 09:04:33.262185000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0012","74"
"Apr  3, 2025 09:04:33.262210000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0010","66"
"Apr  3, 2025 09:04:33.262269000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0018","88"
"Apr  3, 2025 09:04:33.262281000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0010","66"
"Apr  3, 2025 09:04:33.284321000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0018","108"
"Apr  3, 2025 09:04:33.284353000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0010","66"
"Apr  3, 2025 09:04:33.284529000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0018","1074"
"Apr  3, 2025 09:04:33.286792000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0018","1178"
"Apr  3, 2025 09:04:33.287175000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0018","114"
"Apr  3, 2025 09:04:33.302179000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0018","598"
"Apr  3, 2025 09:04:33.302739000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0018","82"
"Apr  3, 2025 09:04:33.343759000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0010","66"
"Apr  3, 2025 09:04:33.343813000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0018","118"
"Apr  3, 2025 09:04:33.343848000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0010","66"
"Apr  3, 2025 09:04:33.344062000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0018","118"
"Apr  3, 2025 09:04:33.344300000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0018","134"
"Apr  3, 2025 09:04:33.353078000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0018","118"
"Apr  3, 2025 09:04:33.353324000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0018","118"
"Apr  3, 2025 09:04:33.353380000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0011","66"
"Apr  3, 2025 09:04:33.360068000 EAT","20.0.0.2","20.0.0.4","22","34954",,"0x0011","66"
"Apr  3, 2025 09:04:33.360125000 EAT","20.0.0.4","20.0.0.2","34954","22",,"0x0010","66"
"Apr  3, 2025 09:04:33.573668000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0002","74"
"Apr  3, 2025 09:04:33.573698000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0002","74"
"Apr  3, 2025 09:04:33.573723000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0012","74"
"Apr  3, 2025 09:04:33.573752000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0012","74"
"Apr  3, 2025 09:04:33.573780000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0010","66"
"Apr  3, 2025 09:04:33.573791000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0010","66"
"Apr  3, 2025 09:04:33.573869000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0002","74"
"Apr  3, 2025 09:04:33.573869000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0002","74"
"Apr  3, 2025 09:04:33.573906000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0018","88"
"Apr  3, 2025 09:04:33.573926000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0012","74"
"Apr  3, 2025 09:04:33.573926000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0012","74"
"Apr  3, 2025 09:04:33.573931000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0010","66"
"Apr  3, 2025 09:04:33.573940000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0018","88"
"Apr  3, 2025 09:04:33.573971000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0010","66"
"Apr  3, 2025 09:04:33.573974000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0010","66"
"Apr  3, 2025 09:04:33.573974000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0010","66"
"Apr  3, 2025 09:04:33.574125000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0018","88"
"Apr  3, 2025 09:04:33.574125000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0018","88"
"Apr  3, 2025 09:04:33.574155000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0010","66"
"Apr  3, 2025 09:04:33.574155000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0010","66"
"Apr  3, 2025 09:04:33.610887000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0018","108"
"Apr  3, 2025 09:04:33.610939000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0010","66"
"Apr  3, 2025 09:04:33.611660000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0018","1074"
"Apr  3, 2025 09:04:33.612384000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0018","108"
